,code,country,total_cases,total_deaths
371,AND,Andorra,,
372,NER,Niger,,
373,LSO,Lesotho,,
374,Vietnam,Vietnam,,
375,TCD,Chad,,
376,MTQ,Martinique,,
377,STP,Sao Tome and Principe,,
378,PYF,French Polynesia,,
379,SMR,San Marino,,
380,Channel Islands,Channel Islands,,
381,Turks and Caicos,Turks and Caicos,,
382,Sint Maarten,Sint Maarten,,
383,TZA,"Tanzania, United Republic of",,
384,PNG,Papua New Guinea,,
385,Taiwan,Taiwan,,
386,BDI,Burundi,,
387,COM,Comoros,,
388,Faeroe Islands,Faeroe Islands,,
389,MUS,Mauritius,,
390,ERI,Eritrea,,
391,IMN,Isle of Man,,
392,GIB,Gibraltar,,
393,MNG,Mongolia,,
394,KHM,Cambodia,,
395,Saint Martin,Saint Martin,,
396,BTN,Bhutan,,
397,CYM,Cayman Islands,,
398,BRB,Barbados,,
399,BMU,Bermuda,,
400,MCO,Monaco,,
401,Brunei ,Brunei ,,
402,SYC,Seychelles,,
403,CUW,Curaçao,,
404,LIE,Liechtenstein,,
405,ATG,Antigua and Barbuda,,
406,British Virgin Islands,British Virgin Islands,,
407,St. Vincent Grenadines,St. Vincent Grenadines,,
408,MAC,Macao,,
409,FJI,Fiji,,
410,TLS,Timor-Leste,,
411,NCL,New Caledonia,,
412,LCA,Saint Lucia,,
413,GRD,Grenada,,
414,DMA,Dominica,,
415,Laos,Laos,,
416,Caribbean Netherlands,Caribbean Netherlands,,
417,St. Barth,St. Barth,,
418,KNA,Saint Kitts and Nevis,,
419,GRL,Greenland,,
420,MSR,Montserrat,,
421,Falkland Islands,Falkland Islands,,
422,Vatican City,Vatican City,,
423,ESH,Western Sahara,,
424,Saint Pierre Miquelon,Saint Pierre Miquelon,,
425,AIA,Anguilla,,
426,CHN,China,,
427,USA,United States,,
428,IND,India,,
429,BRA,Brazil,,
430,RUS,Russian Federation,,
431,PER,Peru,,
432,COL,Colombia,,
433,ZAF,South Africa,,
434,MEX,Mexico,,
435,ESP,Spain,,
436,ARG,Argentina,,
437,CHL,Chile,,
438,IRN,"Iran, Islamic Republic of",,
439,GBR,United Kingdom,,
440,FRA,France,,
441,BGD,Bangladesh,,
442,SAU,Saudi Arabia,,
443,PAK,Pakistan,,
444,TUR,Turkey,,
445,ITA,Italy,,
446,IRQ,Iraq,,
447,DEU,Germany,,
448,PHL,Philippines,,
449,IDN,Indonesia,,
450,UKR,Ukraine,,
451,ISR,Israel,,
452,CAN,Canada,,
453,BOL,"Bolivia, Plurinational State of",,
454,QAT,Qatar,,
455,ECU,Ecuador,,
456,KAZ,Kazakhstan,,
457,EGY,Egypt,,
458,DOM,Dominican Republic,,
459,PAN,Panama,,
460,ROU,Romania,,
461,KWT,Kuwait,,
462,BEL,Belgium,,
463,OMN,Oman,,
464,SWE,Sweden,,
465,GTM,Guatemala,,
466,NLD,Netherlands,,
467,UAE,UAE,,
468,MAR,Morocco,,
469,BLR,Belarus,,
470,JPN,Japan,,
471,POL,Poland,,
472,HND,Honduras,,
473,PRT,Portugal,,
474,ETH,Ethiopia,,
475,SGP,Singapore,,
476,BHR,Bahrain,,
477,NGA,Nigeria,,
478,Venezuela,Venezuela,,
479,CRI,Costa Rica,,
480,NPL,Nepal,,
481,DZA,Algeria,,
482,GHA,Ghana,,
483,ARM,Armenia,,
484,CHE,Switzerland,,
485,KGZ,Kyrgyzstan,,
486,UZB,Uzbekistan,,
487,Moldova,Moldova,,
488,AFG,Afghanistan,,
489,AZE,Azerbaijan,,
490,KEN,Kenya,,
491,SRB,Serbia,,
492,IRL,Ireland,,
493,AUT,Austria,,
494,CZE,Czechia,,
495,Palestine,Palestine,,
496,SLV,El Salvador,,
497,AUS,Australia,,
498,PRY,Paraguay,,
499,BIH,Bosnia and Herzegovina,,
500,S. Korea,S. Korea,,
501,LBN,Lebanon,,
502,CMR,Cameroon,,
503,LBY,Libya,,
504,Ivory Coast,Ivory Coast,,
505,DNK,Denmark,,
506,BGR,Bulgaria,,
507,MDG,Madagascar,,
508,MKD,North Macedonia,,
509,SEN,Senegal,,
510,SDN,Sudan,,
511,ZMB,Zambia,,
512,HRV,Croatia,,
513,GRC,Greece,,
514,NOR,Norway,,
515,ALB,Albania,,
516,COD,COD,,
517,GIN,Guinea,,
518,MYS,Malaysia,,
519,GUF,French Guiana,,
520,HUN,Hungary,,
521,TJK,Tajikistan,,
522,NAM,Namibia,,
523,MDV,Maldives,,
524,GAB,Gabon,,
525,HTI,Haiti,,
526,FIN,Finland,,
527,ZWE,Zimbabwe,,
528,MRT,Mauritania,,
529,LUX,Luxembourg,,
530,MNE,Montenegro,,
531,MWI,Malawi,,
532,DJI,Djibouti,,
533,TUN,Tunisia,,
534,GNQ,Equatorial Guinea,,
535,COG,Congo,,
536,HKG,Hong Kong,,
537,SWZ,Eswatini,,
538,CAR,CAR,,
539,NIC,Nicaragua,,
540,SVK,Slovakia,,
541,MOZ,Mozambique,,
542,RWA,Rwanda,,
543,SUR,Suriname,,
544,CPV,Cabo Verde,,
545,CUB,Cuba,,
546,UGA,Uganda,,
547,THA,Thailand,,
548,MYT,Mayotte,,
549,SOM,Somalia,,
550,Syria,Syria,,
551,GMB,Gambia,,
552,SVN,Slovenia,,
553,LKA,Sri Lanka,,
554,JAM,Jamaica,,
555,LTU,Lithuania,,
556,AGO,Angola,,
557,MLI,Mali,,
558,BHS,Bahamas,,
559,SSD,South Sudan,,
560,EST,Estonia,,
561,ABW,Aruba,,
562,JOR,Jordan,,
563,TTO,Trinidad and Tobago,,
564,REU,Réunion,,
565,GNB,Guinea-Bissau,,
566,BEN,Benin,,
567,ISL,Iceland,,
568,BWA,Botswana,,
569,MLT,Malta,,
570,SLE,Sierra Leone,,
571,YEM,Yemen,,
572,NZL,New Zealand,,
573,URY,Uruguay,,
574,GEO,Georgia,,
575,GUY,Guyana,,
576,MMR,Myanmar,,
577,CYP,Cyprus,,
578,TGO,Togo,,
579,BFA,Burkina Faso,,
580,LVA,Latvia,,
581,GLP,Guadeloupe,,
582,LBR,Liberia,,
583,BLZ,Belize,,
584,AND,Andorra,,
585,NER,Niger,,
586,LSO,Lesotho,,
587,Vietnam,Vietnam,,
588,TCD,Chad,,
589,STP,Sao Tome and Principe,,
590,PYF,French Polynesia,,
591,MTQ,Martinique,,
592,SMR,San Marino,,
593,Channel Islands,Channel Islands,,
594,Turks and Caicos,Turks and Caicos,,
595,Sint Maarten,Sint Maarten,,
596,TZA,"Tanzania, United Republic of",,
597,PNG,Papua New Guinea,,
598,Taiwan,Taiwan,,
599,BDI,Burundi,,
600,COM,Comoros,,
601,Faeroe Islands,Faeroe Islands,,
602,MUS,Mauritius,,
603,IMN,Isle of Man,,
604,ERI,Eritrea,,
605,GIB,Gibraltar,,
606,MNG,Mongolia,,
607,KHM,Cambodia,,
608,Saint Martin,Saint Martin,,
609,BTN,Bhutan,,
610,CYM,Cayman Islands,,
611,BRB,Barbados,,
612,BMU,Bermuda,,
613,MCO,Monaco,,
614,Brunei ,Brunei ,,
615,SYC,Seychelles,,
616,LIE,Liechtenstein,,
617,CUW,Curaçao,,
618,ATG,Antigua and Barbuda,,
619,British Virgin Islands,British Virgin Islands,,
620,St. Vincent Grenadines,St. Vincent Grenadines,,
621,MAC,Macao,,
622,FJI,Fiji,,
623,TLS,Timor-Leste,,
624,NCL,New Caledonia,,
625,LCA,Saint Lucia,,
626,GRD,Grenada,,
627,DMA,Dominica,,
628,Laos,Laos,,
629,Caribbean Netherlands,Caribbean Netherlands,,
630,St. Barth,St. Barth,,
631,KNA,Saint Kitts and Nevis,,
632,GRL,Greenland,,
633,MSR,Montserrat,,
634,Falkland Islands,Falkland Islands,,
635,Vatican City,Vatican City,,
636,ESH,Western Sahara,,
637,Saint Pierre Miquelon,Saint Pierre Miquelon,,
638,AIA,Anguilla,,
